id,title,type,status,year,season,genre,rating,totalEpisodes,source,siteUrl
animeav1-isekai-nonbiri-nouka-2,Isekai Nonbiri Nouka 2,TV,,,,fantasy,,,AnimeAV1,https://animeav1.com/media/isekai-nonbiri-nouka-2
animeav1-maid-san-wa-taberu-dake,Maid-san wa Taberu dake,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/maid-san-wa-taberu-dake
animeav1-diamond-no-ace-act-ii-second-season,Diamond no Ace: Act II Second Season,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/diamond-no-ace-act-ii-second-season
animeav1-needy-girl-overdose,Needy Girl Overdose,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/needy-girl-overdose
animeav1-kanan-sama-wa-akumade-choroi,Kanan-sama wa Akumade Choroi,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/kanan-sama-wa-akumade-choroi
animeav1-kami-no-niwatsuki-kusunoki-tei,Kami no Niwatsuki Kusunoki-tei,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/kami-no-niwatsuki-kusunoki-tei
animeav1-honzuki-no-gekokujou-shisho-ni-naru-tame-ni-wa-shudan-wo-erandeiraremasen-ryoushu-no-youjo,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Ryoushu no Youjo,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/honzuki-no-gekokujou-shisho-ni-naru-tame-ni-wa-shudan-wo-erandeiraremasen-ryoushu-no-youjo
animeav1-mairimashita-iruma-kun-4th-season,Mairimashita! Iruma-kun 4th Season,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/mairimashita-iruma-kun-4th-season
animeav1-yomi-no-tsugai,Yomi no Tsugai,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/yomi-no-tsugai
animeav1-mao,Mao,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/mao
animeav1-saikyou-no-shokugyou-wa-yuusha-demo-kenja-demo-naku-kanteishi-kari-rashii-desu-yo,Saikyou no Shokugyou wa Yuusha demo Kenja demo Naku Kanteishi (Kari) Rashii desu yo?,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/saikyou-no-shokugyou-wa-yuusha-demo-kenja-demo-naku-kanteishi-kari-rashii-desu-yo
animeav1-akane-banashi,Akane-banashi,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/akane-banashi
animeav1-otonari-no-tenshi-sama-ni-itsunomanika-dame-ningen-ni-sareteita-ken-2,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken 2,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/otonari-no-tenshi-sama-ni-itsunomanika-dame-ningen-ni-sareteita-ken-2
animeav1-haibara-kun-no-tsuyokute-seishun-new-game,Haibara-kun no Tsuyokute Seishun New Game,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/haibara-kun-no-tsuyokute-seishun-new-game
animeav1-snowball-earth,Snowball Earth,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/snowball-earth
animeav1-tensei-shitara-slime-datta-ken-4th-season,Tensei shitara Slime Datta Ken 4th Season,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/tensei-shitara-slime-datta-ken-4th-season
animeav1-kirio-fanclub,Kirio Fanclub,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/kirio-fanclub
animeav1-reincarnation-no-kaben,Reincarnation no Kaben,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/reincarnation-no-kaben
animeav1-mata-korosarete-shimatta-no-desu-ne-tantei-sama,"Mata Korosarete Shimatta no desu ne, Tantei-sama",TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/mata-korosarete-shimatta-no-desu-ne-tantei-sama
animeav1-mamonogurai-no-boukensha-ore-dake-mamono-wo-kuratte-tsuyoku-naru,Mamonogurai no Boukensha: Ore dake Mamono wo Kuratte Tsuyoku Naru,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/mamonogurai-no-boukensha-ore-dake-mamono-wo-kuratte-tsuyoku-naru
animeav1-dr-stone-science-future-part-3,Dr. Stone: Science Future Part 3,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/dr-stone-science-future-part-3
animeav1-ganbare-nakamura-kun,Ganbare! Nakamura-kun!!,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/ganbare-nakamura-kun
